"","plotID","plotID_Lids","lidsFinal","mortonOrder","siteID","nlcdClass","plotType","subtype","moduleCode","plotCode","latitude_centroid","longitude_centroid","easting_centroid","northing_centroid","datum","utmZone","easting_end","northing_end","wkt"
"1","SCBI_045","SCBI_045_1",220,74,"SCBI","","tower","basePlot","T","SCBI_045_T",38.890566,-78.139431,748104.824,4308523.023,"WGS84","17N",747948.626610846,4308336.87420032,"LINESTRING(748104.824 4308523.023,747948.626610846 4308336.87420032)"
"2","SCBI_045","SCBI_045_2",340,74,"SCBI","","tower","basePlot","T","SCBI_045_T",38.890566,-78.139431,748104.824,4308523.023,"WGS84","17N",748021.713105172,4308751.36830685,"LINESTRING(748104.824 4308523.023,748021.713105172 4308751.36830685)"
"3","SCBI_045","SCBI_045_3",100,74,"SCBI","","tower","basePlot","T","SCBI_045_T",38.890566,-78.139431,748104.824,4308523.023,"WGS84","17N",748344.132283982,4308480.82649283,"LINESTRING(748104.824 4308523.023,748344.132283982 4308480.82649283)"
"4","SCBI_046","SCBI_046_1",330,202,"SCBI","","tower","basePlot","T","SCBI_046_T",38.893831,-78.140758,747978.314,4308881.777,"WGS84","17N",747856.814,4309092.22117312,"LINESTRING(747978.314 4308881.777,747856.814 4309092.22117312)"
"5","SCBI_046","SCBI_046_2",90,202,"SCBI","","tower","basePlot","T","SCBI_046_T",38.893831,-78.140758,747978.314,4308881.777,"WGS84","17N",748221.314,4308881.777,"LINESTRING(747978.314 4308881.777,748221.314 4308881.777)"
"6","SCBI_046","SCBI_046_3",210,202,"SCBI","","tower","basePlot","T","SCBI_046_T",38.893831,-78.140758,747978.314,4308881.777,"WGS84","17N",747856.814,4308671.33282688,"LINESTRING(747978.314 4308881.777,747856.814 4308671.33282688)"
"7","SCBI_047","SCBI_047_1",110,458,"SCBI","","tower","basePlot","T","SCBI_047_T",38.894261,-78.1372,748285.515,4308939.151,"WGS84","17N",748513.860306851,4308856.04010517,"LINESTRING(748285.515 4308939.151,748513.860306851 4308856.04010517)"
"8","SCBI_047","SCBI_047_2",230,458,"SCBI","","tower","basePlot","T","SCBI_047_T",38.894261,-78.1372,748285.515,4308939.151,"WGS84","17N",748099.366200322,4308782.95361085,"LINESTRING(748285.515 4308939.151,748099.366200322 4308782.95361085)"
"9","SCBI_047","SCBI_047_3",350,458,"SCBI","","tower","basePlot","T","SCBI_047_T",38.894261,-78.1372,748285.515,4308939.151,"WGS84","17N",748243.318492827,4309178.45928398,"LINESTRING(748285.515 4308939.151,748243.318492827 4309178.45928398)"
"10","SCBI_048","SCBI_048_1",350,1029,"SCBI","","tower","basePlot","T","SCBI_048_T",38.892604,-78.135922,748402.105,4308758.799,"WGS84","17N",748359.908492827,4308998.10728398,"LINESTRING(748402.105 4308758.799,748359.908492827 4308998.10728398)"
"11","SCBI_048","SCBI_048_2",110,1029,"SCBI","","tower","basePlot","T","SCBI_048_T",38.892604,-78.135922,748402.105,4308758.799,"WGS84","17N",748630.450306851,4308675.68810517,"LINESTRING(748402.105 4308758.799,748630.450306851 4308675.68810517)"
"12","SCBI_048","SCBI_048_3",230,1029,"SCBI","","tower","basePlot","T","SCBI_048_T",38.892604,-78.135922,748402.105,4308758.799,"WGS84","17N",748215.956200322,4308602.60161085,"LINESTRING(748402.105 4308758.799,748215.956200322 4308602.60161085)"
